Unnamed: 0,CustomerID,Gender,Location,Tenure_Months,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,GST,Date,Offline_Spend,Online_Spend,Month,Coupon_Code,Discount_pct
115,12791.0,F,Washington DC,26.0,16957.0,2019-01-03,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,ELEC10,10.0
116,16218.0,M,Chicago,40.0,16958.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/3/2019,4500.0,1576.38,1,ELEC10,10.0
135,17850.0,M,Chicago,12.0,16984.0,2019-01-04,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/4/2019,4500.0,2928.55,1,ELEC10,10.0
138,16218.0,M,Chicago,40.0,16982.0,2019-01-04,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1/4/2019,4500.0,2928.55,1,ELEC10,10.0
140,14307.0,F,California,28.0,16994.0,2019-01-04,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/4/2019,4500.0,2928.55,1,ELEC10,10.0
156,17908.0,F,California,15.0,17023.0,2019-01-04,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/4/2019,4500.0,2928.55,1,ELEC10,10.0
178,17920.0,F,California,18.0,17066.0,2019-01-04,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Used,0.1,1/4/2019,4500.0,2928.55,1,ELEC10,10.0
199,17850.0,M,Chicago,12.0,18018.0,2019-01-16,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,4.0,122.77,6.5,Clicked,0.1,1/16/2019,3000.0,3727.61,1,ELEC10,10.0
201,13065.0,F,Chicago,32.0,17949.0,2019-01-16,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/16/2019,3000.0,3727.61,1,ELEC10,10.0
202,14606.0,F,Chicago,33.0,17954.0,2019-01-16,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1/16/2019,3000.0,3727.61,1,ELEC10,10.0
223,13576.0,M,New York,23.0,17988.0,2019-01-16,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,153.71,6.5,Used,0.1,1/16/2019,3000.0,3727.61,1,ELEC10,10.0
226,18011.0,M,California,7.0,17996.0,2019-01-16,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1.0,81.5,6.5,Not Used,0.1,1/16/2019,3000.0,3727.61,1,ELEC10,10.0
236,13090.0,M,New Jersey,4.0,18011.0,2019-01-16,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Not Used,0.1,1/16/2019,3000.0,3727.61,1,ELEC10,10.0
239,15694.0,F,New York,41.0,18013.0,2019-01-16,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2.0,81.5,6.5,Clicked,0.1,1/16/2019,3000.0,3727.61,1,ELEC10,10.0
244,17850.0,M,Chicago,12.0,18021.0,2019-01-17,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/17/2019,3000.0,417.73,1,ELEC10,10.0
267,14741.0,M,California,32.0,18037.0,2019-01-17,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,3.0,122.77,6.5,Clicked,0.1,1/17/2019,3000.0,417.73,1,ELEC10,10.0
270,13715.0,M,California,23.0,18047.0,2019-01-17,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/17/2019,3000.0,417.73,1,ELEC10,10.0
280,17732.0,F,Chicago,8.0,18057.0,2019-01-17,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/17/2019,3000.0,417.73,1,ELEC10,10.0
288,12855.0,F,New York,33.0,18069.0,2019-01-17,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Used,0.1,1/17/2019,3000.0,417.73,1,ELEC10,10.0
291,15752.0,F,New York,27.0,18090.0,2019-01-17,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/17/2019,3000.0,417.73,1,ELEC10,10.0
297,17855.0,F,New York,13.0,18103.0,2019-01-17,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/17/2019,3000.0,417.73,1,ELEC10,10.0
305,13941.0,F,New York,38.0,18117.0,2019-01-17,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/17/2019,3000.0,417.73,1,ELEC10,10.0
310,17017.0,M,California,40.0,18124.0,2019-01-17,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/17/2019,3000.0,417.73,1,ELEC10,10.0
319,14135.0,F,Chicago,21.0,18139.0,2019-01-17,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/17/2019,3000.0,417.73,1,ELEC10,10.0
322,17850.0,M,Chicago,12.0,18210.0,2019-01-18,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Clicked,0.1,1/18/2019,3000.0,1312.5,1,ELEC10,10.0
339,15601.0,F,Chicago,46.0,18156.0,2019-01-18,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/18/2019,3000.0,1312.5,1,ELEC10,10.0
360,13418.0,F,New York,22.0,18189.0,2019-01-18,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/18/2019,3000.0,1312.5,1,ELEC10,10.0
368,14766.0,M,New York,24.0,18198.0,2019-01-18,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/18/2019,3000.0,1312.5,1,ELEC10,10.0
369,15658.0,M,Chicago,24.0,18200.0,2019-01-18,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,3.0,122.77,6.5,Not Used,0.1,1/18/2019,3000.0,1312.5,1,ELEC10,10.0
374,14388.0,F,California,6.0,18240.0,2019-01-18,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/18/2019,3000.0,1312.5,1,ELEC10,10.0
377,14901.0,F,Chicago,4.0,18249.0,2019-01-18,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/18/2019,3000.0,1312.5,1,ELEC10,10.0
388,17850.0,M,Chicago,12.0,18492.0,2019-01-21,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,4.0,81.5,6.5,Used,0.1,1/21/2019,3000.0,640.93,1,ELEC10,10.0
390,14491.0,F,California,6.0,18455.0,2019-01-21,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,153.71,6.5,Clicked,0.1,1/21/2019,3000.0,640.93,1,ELEC10,10.0
391,14060.0,F,Chicago,22.0,18458.0,2019-01-21,GGOENEBB079399,Nest Protect Smoke + CO Black Wired Alarm-USA,Nest-USA,2.0,81.5,6.5,Not Used,0.1,1/21/2019,3000.0,640.93,1,ELEC10,10.0
393,15923.0,F,Chicago,34.0,18460.0,2019-01-21,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,4.0,81.5,6.5,Clicked,0.1,1/21/2019,3000.0,640.93,1,ELEC10,10.0
404,16752.0,M,New York,42.0,18476.0,2019-01-21,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Clicked,0.1,1/21/2019,3000.0,640.93,1,ELEC10,10.0
408,17287.0,F,Washington DC,45.0,18483.0,2019-01-21,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1/21/2019,3000.0,640.93,1,ELEC10,10.0
414,17850.0,M,Chicago,12.0,18497.0,2019-01-22,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/22/2019,1000.0,1049.73,1,ELEC10,10.0
443,15922.0,M,Chicago,29.0,18571.0,2019-01-22,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/22/2019,1000.0,1049.73,1,ELEC10,10.0
444,15363.0,M,New York,32.0,18535.0,2019-01-22,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/22/2019,1000.0,1049.73,1,ELEC10,10.0
445,12915.0,F,Washington DC,3.0,18535.0,2019-01-22,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1.0,81.5,6.5,Clicked,0.1,1/22/2019,1000.0,1049.73,1,ELEC10,10.0
451,15544.0,M,Chicago,22.0,18545.0,2019-01-22,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1/22/2019,1000.0,1049.73,1,ELEC10,10.0
463,15738.0,M,New Jersey,16.0,18560.0,2019-01-22,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Used,0.1,1/22/2019,1000.0,1049.73,1,ELEC10,10.0
465,16042.0,F,Chicago,16.0,18565.0,2019-01-22,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1/22/2019,1000.0,1049.73,1,ELEC10,10.0
467,17381.0,M,New Jersey,17.0,18566.0,2019-01-22,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/22/2019,1000.0,1049.73,1,ELEC10,10.0
473,15827.0,F,Chicago,3.0,18573.0,2019-01-22,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/22/2019,1000.0,1049.73,1,ELEC10,10.0
474,17850.0,M,Chicago,12.0,18737.0,2019-01-24,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/24/2019,1000.0,560.02,1,ELEC10,10.0
493,16510.0,F,California,39.0,18681.0,2019-01-24,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/24/2019,1000.0,560.02,1,ELEC10,10.0
498,17802.0,F,California,13.0,18691.0,2019-01-24,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/24/2019,1000.0,560.02,1,ELEC10,10.0
500,15107.0,F,New York,20.0,18696.0,2019-01-24,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/24/2019,1000.0,560.02,1,ELEC10,10.0
502,17976.0,M,Washington DC,12.0,18698.0,2019-01-24,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1.0,102.13,6.5,Used,0.1,1/24/2019,1000.0,560.02,1,ELEC10,10.0
524,14449.0,M,New Jersey,39.0,18770.0,2019-01-24,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1/24/2019,1000.0,560.02,1,ELEC10,10.0
528,17850.0,M,Chicago,12.0,18928.0,2019-01-26,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1/26/2019,1000.0,937.58,1,ELEC10,10.0
532,13767.0,F,Chicago,29.0,18956.0,2019-01-26,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/26/2019,1000.0,937.58,1,ELEC10,10.0
533,13138.0,F,California,21.0,18880.0,2019-01-26,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/26/2019,1000.0,937.58,1,ELEC10,10.0
535,17567.0,F,California,9.0,18882.0,2019-01-26,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/26/2019,1000.0,937.58,1,ELEC10,10.0
537,15061.0,M,California,7.0,18888.0,2019-01-26,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,153.71,6.5,Used,0.1,1/26/2019,1000.0,937.58,1,ELEC10,10.0
563,16203.0,M,California,9.0,18943.0,2019-01-26,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,3.0,122.77,6.5,Not Used,0.1,1/26/2019,1000.0,937.58,1,ELEC10,10.0
572,15640.0,F,California,30.0,18958.0,2019-01-26,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/26/2019,1000.0,937.58,1,ELEC10,10.0
575,14688.0,F,New York,46.0,16739.0,2019-01-02,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/2/2019,4500.0,3480.36,1,ELEC10,10.0
578,15311.0,F,Chicago,40.0,16748.0,2019-01-02,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1/2/2019,4500.0,3480.36,1,ELEC10,10.0
591,16098.0,M,Chicago,49.0,16774.0,2019-01-02,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/2/2019,4500.0,3480.36,1,ELEC10,10.0
597,18074.0,F,California,10.0,16779.0,2019-01-02,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/2/2019,4500.0,3480.36,1,ELEC10,10.0
607,17420.0,F,New York,19.0,16796.0,2019-01-02,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/2/2019,4500.0,3480.36,1,ELEC10,10.0
609,16029.0,F,Washington DC,40.0,16798.0,2019-01-02,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Not Used,0.1,1/2/2019,4500.0,3480.36,1,ELEC10,10.0
614,16250.0,F,California,30.0,16803.0,2019-01-02,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/2/2019,4500.0,3480.36,1,ELEC10,10.0
622,12431.0,F,New Jersey,14.0,16814.0,2019-01-02,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1.0,81.5,6.5,Clicked,0.1,1/2/2019,4500.0,3480.36,1,ELEC10,10.0
628,16029.0,F,Washington DC,40.0,19170.0,2019-01-30,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/30/2019,700.0,981.86,1,ELEC10,10.0
630,14156.0,F,California,5.0,19128.0,2019-01-30,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/30/2019,700.0,981.86,1,ELEC10,10.0
631,13402.0,M,Chicago,42.0,19133.0,2019-01-30,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/30/2019,700.0,981.86,1,ELEC10,10.0
635,18168.0,F,Chicago,5.0,19141.0,2019-01-30,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,205.3,6.5,Not Used,0.1,1/30/2019,700.0,981.86,1,ELEC10,10.0
647,17757.0,F,New York,45.0,19146.0,2019-01-30,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,205.3,6.5,Clicked,0.1,1/30/2019,700.0,981.86,1,ELEC10,10.0
658,16754.0,F,New Jersey,5.0,19169.0,2019-01-30,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/30/2019,700.0,981.86,1,ELEC10,10.0
659,16634.0,F,New York,33.0,19175.0,2019-01-30,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/30/2019,700.0,981.86,1,ELEC10,10.0
665,18239.0,M,New York,20.0,19183.0,2019-01-30,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/30/2019,700.0,981.86,1,ELEC10,10.0
675,14395.0,M,New Jersey,4.0,19222.0,2019-01-30,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Clicked,0.1,1/30/2019,700.0,981.86,1,ELEC10,10.0
684,15093.0,M,California,46.0,19245.0,2019-01-30,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,28.78,Clicked,0.1,1/30/2019,700.0,981.86,1,ELEC10,10.0
693,12738.0,M,New York,42.0,19257.0,2019-01-30,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/30/2019,700.0,981.86,1,ELEC10,10.0
703,13767.0,F,Chicago,29.0,18806.0,2019-01-25,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1/25/2019,1000.0,1124.95,1,ELEC10,10.0
704,14449.0,M,New Jersey,39.0,18778.0,2019-01-25,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1/25/2019,1000.0,1124.95,1,ELEC10,10.0
718,15838.0,F,Chicago,9.0,18806.0,2019-01-25,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/25/2019,1000.0,1124.95,1,ELEC10,10.0
719,16781.0,F,New York,38.0,18809.0,2019-01-25,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/25/2019,1000.0,1124.95,1,ELEC10,10.0
731,17547.0,M,Chicago,41.0,18824.0,2019-01-25,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/25/2019,1000.0,1124.95,1,ELEC10,10.0
732,13491.0,F,Chicago,16.0,18825.0,2019-01-25,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/25/2019,1000.0,1124.95,1,ELEC10,10.0
737,16186.0,F,New York,18.0,18829.0,2019-01-25,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/25/2019,1000.0,1124.95,1,ELEC10,10.0
740,17685.0,M,Washington DC,37.0,18837.0,2019-01-25,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1/25/2019,1000.0,1124.95,1,ELEC10,10.0
741,17581.0,M,California,25.0,18839.0,2019-01-25,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/25/2019,1000.0,1124.95,1,ELEC10,10.0
752,15732.0,F,Chicago,21.0,18867.0,2019-01-25,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1/25/2019,1000.0,1124.95,1,ELEC10,10.0
754,13138.0,F,California,21.0,18873.0,2019-01-25,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,4.0,153.71,6.5,Clicked,0.1,1/25/2019,1000.0,1124.95,1,ELEC10,10.0
759,17920.0,F,California,18.0,17097.0,2019-01-05,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/5/2019,4500.0,4055.3,1,ELEC10,10.0
770,12838.0,F,California,31.0,17127.0,2019-01-05,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1/5/2019,4500.0,4055.3,1,ELEC10,10.0
782,13255.0,M,California,15.0,17157.0,2019-01-05,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/5/2019,4500.0,4055.3,1,ELEC10,10.0
787,16583.0,F,California,27.0,17161.0,2019-01-05,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/5/2019,4500.0,4055.3,1,ELEC10,10.0
790,18085.0,M,Chicago,34.0,17168.0,2019-01-05,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1/5/2019,4500.0,4055.3,1,ELEC10,10.0
792,13758.0,M,Washington DC,46.0,17172.0,2019-01-05,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1/5/2019,4500.0,4055.3,1,ELEC10,10.0
798,13694.0,F,California,44.0,17183.0,2019-01-05,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1/5/2019,4500.0,4055.3,1,ELEC10,10.0
